analysis_month,department,admissions,avg_length_of_stay,staff_assignments,patient_assignments,patient_to_staff_ratio,total_billed_amount,avg_billed_per_admission
2024-04,General Medicine,670,4.94,997.0,4131.0,4.14,5803249.34,8661.57
2024-04,Nephrology,208,5.79,540.0,1779.0,3.29,2716268.23,13058.98
2024-04,Neurology,273,6.41,617.0,2122.0,3.44,3809488.1,13954.17
2024-04,Oncology,220,5.67,665.0,1878.0,2.82,4017687.58,18262.22
2024-04,Orthopedics,427,4.31,710.0,2593.0,3.65,5196893.82,12170.71
2024-04,Pulmonology,280,5.33,644.0,2282.0,3.54,2973856.86,10620.92
2024-04,Surgery,249,5.69,818.0,2752.0,3.36,4205364.34,16889.01
2024-05,Cardiology,421,5.29,848.0,3064.0,3.61,6176013.23,14669.87
2024-05,Emergency,1031,2.65,1216.0,5460.0,4.49,6202572.39,6016.07
2024-05,Gastroenterology,244,4.05,586.0,1889.0,3.22,2199967.86,9016.26
2024-05,General Medicine,703,4.74,1017.0,4208.0,4.14,6282477.1,8936.67
2024-05,Nephrology,191,5.27,581.0,1751.0,3.01,2587743.0,13548.39
2024-05,Neurology,279,5.81,672.0,2180.0,3.24,3950218.51,14158.49
2024-05,Oncology,238,6.29,656.0,1995.0,3.04,4349815.19,18276.53
2024-05,Orthopedics,417,4.63,733.0,2513.0,3.43,5123081.83,12285.57
2024-05,Pulmonology,318,5.25,664.0,2303.0,3.47,3230007.74,10157.26
2024-05,Surgery,261,5.69,869.0,2652.0,3.05,4450141.33,17050.35
2024-06,Cardiology,420,5.67,836.0,2764.0,3.31,5907089.75,14064.5
2024-06,Emergency,967,2.78,1165.0,5122.0,4.4,5884230.17,6085.04
2024-06,Gastroenterology,249,4.33,551.0,1832.0,3.32,2282068.36,9164.93
2024-06,General Medicine,680,4.97,995.0,3937.0,3.96,6005440.87,8831.53
2024-06,Nephrology,199,5.7,595.0,1729.0,2.91,2674254.92,13438.47
2024-06,Neurology,288,6.14,644.0,2068.0,3.21,3996025.78,13875.09
2024-06,Oncology,246,5.67,651.0,1875.0,2.88,4170480.6,16953.17
2024-06,Orthopedics,370,4.51,717.0,2367.0,3.3,4336599.56,11720.54
2024-06,Pulmonology,288,5.14,638.0,2107.0,3.3,2929779.92,10172.85
2024-06,Surgery,246,5.38,817.0,2531.0,3.1,4020736.87,16344.46
2024-07,Cardiology,439,5.67,872.0,2869.0,3.29,6429254.71,14645.23
2024-07,Emergency,958,2.81,1209.0,5041.0,4.17,5728604.31,5979.75
2024-07,Gastroenterology,244,3.99,566.0,1754.0,3.1,2242831.64,9191.93
2024-07,General Medicine,759,4.93,990.0,3999.0,4.04,6878961.05,9063.19
2024-07,Nephrology,207,5.55,577.0,1662.0,2.88,2622563.43,12669.39
2024-07,Neurology,289,6.05,679.0,1986.0,2.92,3968833.2,13732.99
2024-07,Oncology,238,5.65,671.0,1838.0,2.74,4433612.19,18628.62
2024-07,Orthopedics,401,4.92,736.0,2383.0,3.24,4818936.42,12017.3
2024-07,Pulmonology,293,5.24,669.0,2166.0,3.24,3018377.92,10301.63
2024-07,Surgery,243,5.63,847.0,2552.0,3.01,3852523.4,15854.01
2024-08,Cardiology,445,5.42,860.0,2612.0,3.04,6502114.9,14611.49
2024-08,Emergency,1036,2.71,1197.0,5067.0,4.23,6140522.01,5927.14
2024-08,Gastroenterology,240,4.41,551.0,1776.0,3.22,2256011.46,9400.05
2024-08,General Medicine,688,4.94,1022.0,3831.0,3.75,6037704.48,8775.73
2024-08,Nephrology,198,5.78,567.0,1635.0,2.88,2732254.31,13799.26
2024-08,Neurology,302,5.82,659.0,1886.0,2.86,4109241.86,13606.76
2024-08,Oncology,263,6.12,683.0,1813.0,2.65,5058574.55,19234.12
2024-08,Orthopedics,439,4.42,759.0,2300.0,3.03,5067494.42,11543.27
2024-08,Pulmonology,297,5.14,649.0,2038.0,3.14,3098307.32,10432.01
2024-08,Surgery,252,5.6,853.0,2462.0,2.89,4094523.98,16248.11
2024-09,Cardiology,470,5.51,818.0,2523.0,3.08,7099283.5,15104.86
2024-09,Emergency,988,2.75,1189.0,4679.0,3.94,5889824.71,5961.36
2024-09,Gastroenterology,251,3.89,568.0,1627.0,2.86,2311807.18,9210.39
2024-09,General Medicine,641,5.09,993.0,3673.0,3.7,5609162.4,8750.64
2024-09,Nephrology,187,5.64,593.0,1474.0,2.49,2490026.41,13315.65
2024-09,Neurology,312,6.36,628.0,1789.0,2.85,4345110.63,13926.64
2024-09,Oncology,242,6.07,653.0,1691.0,2.59,4277739.25,17676.61
2024-09,Orthopedics,363,4.51,710.0,2167.0,3.05,4256712.51,11726.48
2024-09,Pulmonology,266,5.48,647.0,1960.0,3.03,2876691.35,10814.63
2024-09,Surgery,230,5.43,813.0,2199.0,2.7,3745027.73,16282.73
2024-10,Cardiology,415,5.51,849.0,2762.0,3.25,6155405.59,14832.3
2024-10,Emergency,1033,2.8,1201.0,4800.0,4.0,6353283.32,6150.32
2024-10,Gastroenterology,271,4.32,558.0,1609.0,2.88,2432864.76,8977.36
2024-10,General Medicine,729,4.89,1013.0,3698.0,3.65,6357386.54,8720.69
2024-10,Nephrology,200,5.59,604.0,1555.0,2.57,2550122.41,12750.61
2024-10,Neurology,283,6.13,641.0,1873.0,2.92,3904834.39,13798.0
2024-10,Oncology,230,5.78,656.0,1759.0,2.68,4108697.28,17863.9
2024-10,Orthopedics,402,4.43,771.0,2155.0,2.8,4901181.76,12191.99
2024-10,Pulmonology,277,5.18,670.0,1911.0,2.85,2876010.84,10382.71
2024-10,Surgery,255,5.33,834.0,2423.0,2.91,4754638.88,18645.64
2024-11,Cardiology,432,5.62,804.0,2556.0,3.18,6320020.22,14629.68
2024-11,Emergency,998,2.81,1182.0,4853.0,4.11,6134574.92,6146.87
2024-11,Gastroenterology,236,4.4,572.0,1604.0,2.8,2247067.54,9521.47
2024-11,General Medicine,682,4.87,978.0,3655.0,3.74,6038960.99,8854.78
2024-11,Nephrology,206,6.26,529.0,1572.0,2.97,2690762.99,13061.96
2024-11,Neurology,265,6.08,630.0,1953.0,3.1,3736735.59,14100.89
2024-11,Oncology,227,5.82,668.0,1675.0,2.51,4153927.79,18299.24
2024-11,Orthopedics,406,4.31,758.0,2223.0,2.93,4569969.58,11256.08
2024-11,Pulmonology,288,5.31,631.0,1957.0,3.1,3032386.49,10529.12
2024-11,Surgery,230,5.44,820.0,2355.0,2.87,3657232.46,15901.01
2024-12,Cardiology,498,5.73,826.0,2752.0,3.33,7227795.13,14513.64
2024-12,Emergency,1001,2.74,1205.0,5088.0,4.22,6356903.63,6350.55
2024-12,Gastroenterology,221,4.3,579.0,1762.0,3.04,2001364.71,9055.95
2024-12,General Medicine,677,4.77,1004.0,3917.0,3.9,5863599.56,8661.15
2024-12,Nephrology,206,6.02,566.0,1636.0,2.89,2685101.74,13034.47
2024-12,Neurology,296,5.61,671.0,2025.0,3.02,4142307.77,13994.28
2024-12,Oncology,280,6.01,661.0,1766.0,2.67,5041603.17,18005.73
2024-12,Orthopedics,415,4.29,760.0,2375.0,3.13,4781241.0,11521.06
2024-12,Pulmonology,277,5.53,675.0,2122.0,3.14,2987646.51,10785.73
2024-12,Surgery,239,5.54,853.0,2542.0,2.98,3766776.82,15760.57
2025-01,Cardiology,458,5.26,844.0,2873.0,3.4,6961744.38,15200.32
2025-01,Emergency,973,2.79,1176.0,5332.0,4.53,6289545.99,6464.08
2025-01,Gastroenterology,252,4.58,580.0,1798.0,3.1,2369438.8,9402.53
2025-01,General Medicine,700,4.95,1037.0,4095.0,3.95,6237096.01,8910.14
2025-01,Nephrology,195,5.73,588.0,1751.0,2.98,2502882.9,12835.3
2025-01,Neurology,310,6.29,645.0,2034.0,3.15,4336621.81,13989.1
2025-01,Oncology,235,5.68,669.0,1931.0,2.89,4222733.36,17969.08
2025-01,Orthopedics,408,4.64,727.0,2432.0,3.35,4881008.34,11963.26
2025-01,Pulmonology,288,5.09,681.0,2237.0,3.28,2953167.74,10254.05
2025-01,Surgery,258,5.22,847.0,2747.0,3.24,4077432.23,15804.0
2025-02,Cardiology,409,5.55,781.0,2786.0,3.57,6105269.22,14927.31
2025-02,Emergency,915,2.75,1101.0,4866.0,4.42,5564918.94,6081.88
2025-02,Gastroenterology,241,4.28,494.0,1686.0,3.41,2246827.39,9322.94
2025-02,General Medicine,567,4.94,923.0,3785.0,4.1,4873283.11,8594.86
2025-02,Nephrology,165,5.75,529.0,1641.0,3.1,2190043.97,13272.99
2025-02,Neurology,267,5.8,632.0,1953.0,3.09,3804376.1,14248.6
2025-02,Oncology,210,5.55,632.0,1791.0,2.83,3924852.85,18689.78
2025-02,Orthopedics,383,4.49,659.0,2325.0,3.53,4536408.48,11844.41
2025-02,Pulmonology,259,5.4,600.0,2045.0,3.41,2700970.56,10428.46
2025-02,Surgery,213,5.89,787.0,2579.0,3.28,3721475.58,17471.72
2025-03,Cardiology,396,5.52,856.0,3047.0,3.56,5758481.03,14541.62
2025-03,Emergency,946,2.78,1196.0,5627.0,4.7,5638116.19,5959.95
2025-03,Gastroenterology,228,4.24,572.0,1991.0,3.48,2128903.3,9337.3
2025-03,General Medicine,715,4.91,1024.0,4422.0,4.32,6204076.72,8677.03
2025-03,Nephrology,199,5.97,546.0,1742.0,3.19,2502485.85,12575.31
2025-03,Neurology,277,6.02,671.0,2172.0,3.24,3799800.13,13717.69
2025-03,Oncology,247,5.83,672.0,1913.0,2.85,4398145.05,17806.26
2025-03,Orthopedics,386,4.27,760.0,2592.0,3.41,4537822.2,11756.02
2025-03,Pulmonology,299,5.37,647.0,2398.0,3.71,3032808.24,10143.17
2025-03,Surgery,249,5.58,871.0,2841.0,3.26,4150989.54,16670.64
2025-04,Cardiology,429,5.41,837.0,2985.0,3.57,6145918.02,14326.15
2025-04,Emergency,1046,2.81,1157.0,5370.0,4.64,6526369.4,6239.36
2025-04,Gastroenterology,242,4.11,542.0,1912.0,3.53,2183536.81,9022.88
2025-04,General Medicine,663,5.09,980.0,4218.0,4.3,5873861.99,8859.52
2025-04,Nephrology,191,5.58,569.0,1749.0,3.07,2791486.27,14615.11
2025-04,Neurology,312,6.52,617.0,2166.0,3.51,4513533.03,14466.45
2025-04,Oncology,267,5.82,643.0,2002.0,3.11,4882006.51,18284.67
2025-04,Orthopedics,382,4.35,739.0,2608.0,3.53,4440111.95,11623.33
2025-04,Pulmonology,286,5.51,622.0,2223.0,3.57,2944863.66,10296.73
2025-04,Surgery,247,5.05,808.0,2803.0,3.47,4036438.88,16341.86
2025-05,Cardiology,461,5.6,868.0,3089.0,3.56,6816676.49,14786.72
2025-05,Emergency,1010,2.8,1210.0,5512.0,4.56,6230115.3,6168.43
2025-05,Gastroenterology,225,4.28,569.0,1886.0,3.31,2126096.45,9449.32
2025-05,General Medicine,703,5.03,996.0,4121.0,4.14,6145880.55,8742.36
2025-05,Nephrology,209,5.59,578.0,1760.0,3.04,2582476.33,12356.35
2025-05,Neurology,305,6.03,651.0,2286.0,3.51,4284464.17,14047.42
2025-05,Oncology,247,5.8,646.0,1993.0,3.09,4536190.6,18365.14
2025-05,Orthopedics,411,4.45,758.0,2544.0,3.36,4770128.21,11606.15
2025-05,Pulmonology,277,5.17,659.0,2247.0,3.41,2893277.51,10445.05
2025-05,Surgery,238,5.79,841.0,2774.0,3.3,3898056.27,16378.39
2025-06,Cardiology,403,5.78,832.0,2741.0,3.29,5942319.21,14745.21
2025-06,Emergency,926,2.75,1136.0,5161.0,4.54,5576101.84,6021.71
2025-06,Gastroenterology,246,4.25,586.0,1773.0,3.03,2229035.97,9061.12
2025-06,General Medicine,659,5.1,1017.0,3999.0,3.93,5704344.18,8656.06
2025-06,Nephrology,188,5.7,574.0,1675.0,2.92,2504340.2,13320.96
2025-06,Neurology,272,6.1,662.0,2072.0,3.13,3736977.0,13738.89
2025-06,Oncology,261,6.34,618.0,1817.0,2.94,4890412.24,18737.21
2025-06,Orthopedics,398,4.44,733.0,2362.0,3.22,4708718.6,11830.95
2025-06,Pulmonology,254,5.37,642.0,2050.0,3.19,2739052.24,10783.67
2025-06,Surgery,214,5.84,823.0,2530.0,3.07,3597136.92,16809.05
2025-07,Cardiology,442,5.49,826.0,2769.0,3.35,6964838.05,15757.55
2025-07,Emergency,1050,2.74,1170.0,5199.0,4.44,6439787.66,6133.13
2025-07,Gastroenterology,249,4.27,607.0,1731.0,2.85,2260316.1,9077.57
2025-07,General Medicine,649,4.8,1018.0,3894.0,3.83,5664966.86,8728.76
2025-07,Nephrology,225,6.1,584.0,1673.0,2.86,2968670.44,13194.09
2025-07,Neurology,300,5.75,649.0,2100.0,3.24,4140689.21,13802.3
2025-07,Oncology,251,5.79,658.0,1767.0,2.69,4432410.24,17659.0
2025-07,Orthopedics,398,4.43,745.0,2339.0,3.14,5177231.24,13008.12
2025-07,Pulmonology,233,5.39,662.0,2169.0,3.28,2381329.73,10220.3
2025-07,Surgery,209,5.32,826.0,2487.0,3.01,3406968.97,16301.29
2025-08,Cardiology,457,5.48,835.0,2679.0,3.21,6609351.07,14462.47
2025-08,Emergency,978,2.8,1188.0,4756.0,4.0,5811105.03,5941.83
2025-08,Gastroenterology,232,4.19,575.0,1677.0,2.92,2073008.85,8935.38
2025-08,General Medicine,653,4.78,1041.0,3829.0,3.68,5747792.08,8802.13
2025-08,Nephrology,212,5.64,548.0,1530.0,2.79,2864036.1,13509.6
2025-08,Neurology,257,6.51,684.0,1945.0,2.84,3377551.65,13142.22
2025-08,Oncology,244,5.73,664.0,1799.0,2.71,4343385.78,17800.76
2025-08,Orthopedics,410,4.49,764.0,2267.0,2.97,5010396.97,12220.48
2025-08,Pulmonology,274,6.04,635.0,2070.0,3.26,2981510.66,10881.43
2025-08,Surgery,246,5.76,828.0,2475.0,2.99,4212288.85,17123.13
2025-09,Cardiology,453,5.52,794.0,2557.0,3.22,6484729.09,14315.08
2025-09,Emergency,947,2.67,1148.0,4676.0,4.07,5652960.49,5969.34
2025-09,Gastroenterology,280,4.35,572.0,1597.0,2.79,2562706.89,9152.52
2025-09,General Medicine,659,4.81,976.0,3709.0,3.8,5842911.82,8866.33
2025-09,Nephrology,200,5.85,560.0,1520.0,2.71,2556263.63,12781.32
2025-09,Neurology,279,6.12,636.0,1826.0,2.87,3840114.67,13763.85
2025-09,Oncology,214,5.5,610.0,1624.0,2.66,3857734.47,18026.8
2025-09,Orthopedics,410,4.64,720.0,2142.0,2.98,4913647.12,11984.51
2025-09,Pulmonology,301,5.36,625.0,1929.0,3.09,3156030.88,10485.15
2025-09,Surgery,244,5.57,802.0,2319.0,2.89,3998440.26,16387.05
2025-10,Cardiology,467,5.42,819.0,2633.0,3.21,6768315.76,14493.18
2025-10,Emergency,1058,2.77,1192.0,4869.0,4.08,6408993.49,6057.65
2025-10,Gastroenterology,265,4.27,585.0,1610.0,2.75,2447894.28,9237.34
2025-10,General Medicine,677,4.98,996.0,3696.0,3.71,6152389.13,9087.72
2025-10,Nephrology,207,5.6,540.0,1514.0,2.8,2707132.34,13077.93
2025-10,Neurology,288,6.16,671.0,1977.0,2.95,4497158.48,15615.13
2025-10,Oncology,246,5.6,676.0,1682.0,2.49,4366510.63,17750.04
2025-10,Orthopedics,426,4.67,755.0,2251.0,2.98,5113854.51,12004.35
2025-10,Pulmonology,294,5.19,689.0,2000.0,2.9,3257338.4,11079.38
2025-10,Surgery,230,5.39,858.0,2480.0,2.89,3673419.49,15971.39
2025-11,Cardiology,424,5.73,835.0,2721.0,3.26,6169629.63,14551.01
2025-11,Emergency,975,2.71,1148.0,4712.0,4.1,5957476.38,6110.23
2025-11,Gastroenterology,227,3.95,555.0,1724.0,3.11,2064506.79,9094.74
2025-11,General Medicine,692,5.02,996.0,3616.0,3.63,6016593.19,8694.5
2025-11,Nephrology,186,5.86,567.0,1514.0,2.67,2524257.96,13571.28
2025-11,Neurology,284,6.04,637.0,1833.0,2.88,3903467.71,13744.6
2025-11,Oncology,263,6.0,661.0,1744.0,2.64,4896154.31,18616.56
2025-11,Orthopedics,396,4.33,718.0,2225.0,3.1,4541265.9,11467.84
2025-11,Pulmonology,268,5.43,596.0,1967.0,3.3,2899411.09,10818.7
2025-11,Surgery,235,5.8,834.0,2354.0,2.82,3859566.68,16423.69
2025-12,Cardiology,440,5.64,847.0,2831.0,3.34,6339549.12,14408.07
2025-12,Emergency,1040,2.8,1213.0,5091.0,4.2,6334458.69,6090.83
2025-12,Gastroenterology,239,4.11,551.0,1711.0,3.11,2252973.95,9426.67
2025-12,General Medicine,684,4.99,1028.0,3875.0,3.77,5896829.85,8621.1
2025-12,Nephrology,234,6.18,609.0,1633.0,2.68,3012267.65,12872.94
2025-12,Neurology,293,5.86,659.0,2070.0,3.14,3908479.13,13339.52
2025-12,Oncology,239,6.09,703.0,1827.0,2.6,4339092.05,18155.2
2025-12,Orthopedics,442,4.69,735.0,2372.0,3.23,5270857.58,11925.02
2025-12,Pulmonology,279,5.29,656.0,2056.0,3.13,2908868.89,10426.05
2025-12,Surgery,245,5.41,839.0,2506.0,2.99,3911545.66,15965.49
2026-01,Cardiology,463,5.38,831.0,2900.0,3.49,7470318.46,16134.6
2026-01,Emergency,1051,3.26,1079.0,5932.0,5.5,6473234.29,6159.12
2026-01,Gastroenterology,247,4.17,570.0,1906.0,3.34,2215045.56,8967.8
2026-01,General Medicine,681,4.83,1027.0,4058.0,3.95,6141078.95,9017.74
2026-01,Nephrology,192,5.38,602.0,1734.0,2.88,2558561.38,13325.84
2026-01,Neurology,281,5.96,685.0,2027.0,2.96,3849783.72,13700.3
2026-01,Oncology,273,5.98,690.0,1834.0,2.66,5066099.8,18557.14
2026-01,Orthopedics,408,4.69,746.0,2423.0,3.25,4970569.66,12182.77
2026-01,Pulmonology,289,5.54,613.0,2396.0,3.91,3071916.03,10629.47
2026-01,Surgery,264,5.5,860.0,2616.0,3.04,4908869.83,18594.2
2026-02,Cardiology,449,5.53,773.0,2662.0,3.44,7211461.87,16061.16
2026-02,Emergency,925,3.23,975.0,5591.0,5.73,5699134.64,6161.23
2026-02,Gastroenterology,216,4.0,522.0,1725.0,3.3,1962685.75,9086.51
2026-02,General Medicine,605,4.85,939.0,3788.0,4.03,5223241.55,8633.46
2026-02,Nephrology,180,5.56,529.0,1606.0,3.04,2438324.89,13546.25
2026-02,Neurology,244,6.17,601.0,1965.0,3.27,3459091.02,14176.6
2026-02,Oncology,232,5.49,584.0,1780.0,3.05,4100122.88,17672.94
2026-02,Orthopedics,375,4.44,684.0,2281.0,3.33,4470713.37,11921.9
2026-02,Pulmonology,257,5.73,538.0,2284.0,4.25,2760511.9,10741.29
2026-02,Surgery,223,5.88,735.0,2473.0,3.36,4085614.64,18321.14
2026-03,Cardiology,459,5.43,840.0,3028.0,3.6,7526423.37,16397.44
2026-03,Emergency,1002,3.36,1072.0,6198.0,5.78,6240146.38,6227.69
2026-03,Gastroenterology,247,4.11,544.0,1839.0,3.38,2180354.09,8827.34
2026-03,General Medicine,654,5.05,994.0,4384.0,4.41,5857098.49,8955.81
2026-03,Nephrology,232,6.09,560.0,1775.0,3.17,2973606.8,12817.27
2026-03,Neurology,260,6.31,669.0,2233.0,3.34,3678763.37,14149.09
2026-03,Oncology,261,5.98,670.0,2043.0,3.05,4694652.64,17987.17
2026-03,Orthopedics,389,4.42,719.0,2563.0,3.56,4611230.83,11854.06
2026-03,Pulmonology,310,5.73,610.0,2452.0,4.02,3117168.87,10055.38
2026-03,Surgery,263,5.44,814.0,2771.0,3.4,4957629.58,18850.3
2026-04,Cardiology,430,5.83,818.0,2923.0,3.57,7262897.09,16890.46
2026-04,Emergency,948,3.18,1061.0,6064.0,5.72,5827281.59,6146.92
2026-04,Gastroenterology,211,4.13,519.0,1839.0,3.54,2053769.53,9733.5
2026-04,General Medicine,682,4.65,1024.0,4225.0,4.13,5981945.27,8771.18
2026-04,Nephrology,186,5.66,544.0,1751.0,3.22,2628912.35,14133.94
2026-04,Neurology,292,5.94,645.0,2067.0,3.2,4091763.01,14012.89
2026-04,Oncology,245,5.96,670.0,1977.0,2.95,4650251.93,18980.62
2026-04,Orthopedics,384,4.44,704.0,2405.0,3.42,4627873.93,12051.76
2026-04,Pulmonology,266,5.8,579.0,2467.0,4.26,2837738.11,10668.19
2026-04,Surgery,228,5.35,808.0,2642.0,3.27,4322247.46,18957.23
2026-05,Cardiology,428,5.33,846.0,2920.0,3.45,7091555.58,16569.06
2026-05,Emergency,1020,3.27,1080.0,6118.0,5.66,6340893.4,6216.56
2026-05,Gastroenterology,226,4.31,580.0,1830.0,3.16,2105354.05,9315.73
2026-05,General Medicine,688,4.94,1016.0,4173.0,4.11,5919492.48,8603.91
2026-05,Nephrology,200,5.89,551.0,1786.0,3.24,2573532.12,12867.66
2026-05,Neurology,283,5.72,675.0,2172.0,3.22,3809467.03,13461.01
2026-05,Oncology,277,5.75,653.0,1889.0,2.89,4892351.37,17661.92
2026-05,Orthopedics,435,4.45,769.0,2574.0,3.35,5211393.46,11980.21
2026-05,Pulmonology,300,5.79,603.0,2459.0,4.08,3131379.48,10437.93
2026-05,Surgery,218,5.13,843.0,2788.0,3.31,3767748.48,17283.25
2026-06,Cardiology,436,5.41,810.0,2912.0,3.6,7063286.0,16200.2
2026-06,Emergency,1043,3.42,1044.0,5672.0,5.43,6412560.96,6148.19
2026-06,Gastroenterology,265,4.18,540.0,1775.0,3.29,2346327.48,8854.07
2026-06,General Medicine,654,4.96,983.0,3971.0,4.04,5812352.38,8887.39
2026-06,Nephrology,202,5.58,539.0,1731.0,3.21,2684188.7,13288.06
2026-06,Neurology,294,5.91,633.0,1989.0,3.14,3984029.15,13551.12
2026-06,Oncology,251,6.0,646.0,1820.0,2.82,4633664.01,18460.81
2026-06,Orthopedics,402,4.74,722.0,2299.0,3.18,4780035.45,11890.64
2026-06,Pulmonology,258,6.14,596.0,2384.0,4.0,2690852.38,10429.66
2026-06,Surgery,237,5.76,815.0,2511.0,3.08,4145087.18,17489.82
