analysis_month,department,admissions,patient_to_staff_ratio,avg_length_of_stay
2024-06,Neurology,288,3.21,6.14
2025-08,Cardiology,457,3.21,5.48
2025-10,Cardiology,467,3.21,5.42
2026-06,Nephrology,202,3.21,5.58
2026-04,Neurology,292,3.2,5.94
2025-03,Nephrology,199,3.19,5.97
2025-06,Pulmonology,254,3.19,5.37
2024-11,Cardiology,432,3.18,5.62
2026-06,Orthopedics,402,3.18,4.74
2026-03,Nephrology,232,3.17,6.09
2026-05,Gastroenterology,226,3.16,4.31
2024-01,Surgery,241,3.15,5.12
2025-01,Neurology,310,3.15,6.29
2024-08,Pulmonology,297,3.14,5.14
2024-12,Pulmonology,277,3.14,5.53
2025-07,Orthopedics,398,3.14,4.43
2025-12,Neurology,293,3.14,5.86
2026-06,Neurology,294,3.14,5.91
2024-12,Orthopedics,415,3.13,4.29
2025-06,Neurology,272,3.13,6.1
2025-12,Pulmonology,279,3.13,5.29
2024-01,Gastroenterology,220,3.12,4.57
2024-02,Nephrology,192,3.11,6.25
2025-04,Oncology,267,3.11,5.82
2025-11,Gastroenterology,227,3.11,3.95
2025-12,Gastroenterology,239,3.11,4.11
2024-02,Gastroenterology,233,3.1,4.18
2024-06,Surgery,246,3.1,5.38
2024-07,Gastroenterology,244,3.1,3.99
2024-11,Neurology,265,3.1,6.08
2024-11,Pulmonology,288,3.1,5.31
2025-01,Gastroenterology,252,3.1,4.58
2025-02,Nephrology,165,3.1,5.75
2025-11,Orthopedics,396,3.1,4.33
2025-02,Neurology,267,3.09,5.8
2025-05,Oncology,247,3.09,5.8
2025-09,Pulmonology,301,3.09,5.36
2024-09,Cardiology,470,3.08,5.51
2026-06,Surgery,237,3.08,5.76
2025-04,Nephrology,191,3.07,5.58
2025-06,Surgery,214,3.07,5.84
2024-03,Nephrology,197,3.05,5.71
2024-05,Surgery,261,3.05,5.69
2024-09,Orthopedics,363,3.05,4.51
2026-02,Oncology,232,3.05,5.49
2026-03,Oncology,261,3.05,5.98
2024-05,Oncology,238,3.04,6.29
2024-08,Cardiology,445,3.04,5.42
2024-12,Gastroenterology,221,3.04,4.3
2025-05,Nephrology,209,3.04,5.59
2026-01,Surgery,264,3.04,5.5
2026-02,Nephrology,180,3.04,5.56
2024-08,Orthopedics,439,3.03,4.42
2024-09,Pulmonology,266,3.03,5.48
2025-06,Gastroenterology,246,3.03,4.25
2024-12,Neurology,296,3.02,5.61
2024-05,Nephrology,191,3.01,5.27
2024-07,Surgery,243,3.01,5.63
2025-07,Surgery,209,3.01,5.32
2025-08,Surgery,246,2.99,5.76
2025-12,Surgery,245,2.99,5.41
2024-12,Surgery,239,2.98,5.54
2025-01,Nephrology,195,2.98,5.73
2025-09,Orthopedics,410,2.98,4.64
2025-10,Orthopedics,426,2.98,4.67
2024-11,Nephrology,206,2.97,6.26
2025-08,Orthopedics,410,2.97,4.49
2024-01,Nephrology,193,2.96,5.5
2024-02,Oncology,239,2.96,6.52
2026-01,Neurology,281,2.96,5.96
2025-10,Neurology,288,2.95,6.16
2026-04,Oncology,245,2.95,5.96
2024-01,Neurology,281,2.94,6.23
2025-06,Oncology,261,2.94,6.34
2024-11,Orthopedics,406,2.93,4.31
2024-07,Neurology,289,2.92,6.05
2024-10,Neurology,283,2.92,6.13
2025-06,Nephrology,188,2.92,5.7
2025-08,Gastroenterology,232,2.92,4.19
2024-06,Nephrology,199,2.91,5.7
2024-10,Surgery,255,2.91,5.33
2024-03,Oncology,238,2.9,5.55
2025-10,Pulmonology,294,2.9,5.19
2024-08,Surgery,252,2.89,5.6
2024-12,Nephrology,206,2.89,6.02
2025-01,Oncology,235,2.89,5.68
2025-09,Surgery,244,2.89,5.57
2025-10,Surgery,230,2.89,5.39
2026-05,Oncology,277,2.89,5.75
2024-06,Oncology,246,2.88,5.67
2024-07,Nephrology,207,2.88,5.55
2024-08,Nephrology,198,2.88,5.78
2024-10,Gastroenterology,271,2.88,4.32
2025-11,Neurology,284,2.88,6.04
2026-01,Nephrology,192,2.88,5.38
2024-11,Surgery,230,2.87,5.44
2025-09,Neurology,279,2.87,6.12
2024-01,Oncology,256,2.86,6.31
2024-08,Neurology,302,2.86,5.82
2024-09,Gastroenterology,251,2.86,3.89
2025-07,Nephrology,225,2.86,6.1
2024-09,Neurology,312,2.85,6.36
2024-10,Pulmonology,277,2.85,5.18
2025-03,Oncology,247,2.85,5.83
2025-07,Gastroenterology,249,2.85,4.27
2025-08,Neurology,257,2.84,6.51
2025-02,Oncology,210,2.83,5.55
2024-04,Oncology,220,2.82,5.67
2025-11,Surgery,235,2.82,5.8
2026-06,Oncology,251,2.82,6.0
2024-10,Orthopedics,402,2.8,4.43
2024-11,Gastroenterology,236,2.8,4.4
2025-10,Nephrology,207,2.8,5.6
2025-08,Nephrology,212,2.79,5.64
2025-09,Gastroenterology,280,2.79,4.35
2025-10,Gastroenterology,265,2.75,4.27
2024-07,Oncology,238,2.74,5.65
2025-08,Oncology,244,2.71,5.73
2025-09,Nephrology,200,2.71,5.85
2024-09,Surgery,230,2.7,5.43
2025-07,Oncology,251,2.69,5.79
2024-10,Oncology,230,2.68,5.78
2025-12,Nephrology,234,2.68,6.18
2024-12,Oncology,280,2.67,6.01
2025-11,Nephrology,186,2.67,5.86
2025-09,Oncology,214,2.66,5.5
2026-01,Oncology,273,2.66,5.98
2024-08,Oncology,263,2.65,6.12
2025-11,Oncology,263,2.64,6.0
2025-12,Oncology,239,2.6,6.09
2024-09,Oncology,242,2.59,6.07
2024-10,Nephrology,200,2.57,5.59
2024-11,Oncology,227,2.51,5.82
2024-09,Nephrology,187,2.49,5.64
2025-10,Oncology,246,2.49,5.6
