discharge_month,department,eligible_admissions,readmitted_admissions,readmission_rate_pct
2024-06,Nephrology,196.0,25.0,12.76
2024-06,Emergency,965.0,119.0,12.33
2024-06,Surgery,243.0,29.0,11.93
2024-06,General Medicine,659.0,74.0,11.23
2024-06,Pulmonology,286.0,32.0,11.19
2024-06,Cardiology,418.0,39.0,9.33
2024-06,Oncology,243.0,22.0,9.05
2024-06,Orthopedics,383.0,29.0,7.57
2024-06,Neurology,290.0,20.0,6.9
2024-07,Nephrology,209.0,26.0,12.44
2024-07,Neurology,279.0,34.0,12.19
2024-07,Gastroenterology,249.0,29.0,11.65
2024-07,Orthopedics,407.0,45.0,11.06
2024-07,Emergency,941.0,104.0,11.05
2024-07,Cardiology,418.0,46.0,11.0
2024-07,General Medicine,760.0,78.0,10.26
2024-07,Pulmonology,301.0,29.0,9.63
2024-07,Oncology,242.0,22.0,9.09
2024-07,Surgery,256.0,21.0,8.2
2024-08,Orthopedics,424.0,52.0,12.26
2024-08,Neurology,314.0,38.0,12.1
2024-08,Surgery,238.0,28.0,11.76
2024-08,General Medicine,696.0,80.0,11.49
2024-08,Oncology,256.0,29.0,11.33
2024-08,Gastroenterology,244.0,27.0,11.07
2024-08,Emergency,1051.0,103.0,9.8
2024-08,Cardiology,470.0,46.0,9.79
2024-08,Pulmonology,287.0,26.0,9.06
2024-08,Nephrology,201.0,18.0,8.96
2024-09,Orthopedics,370.0,44.0,11.89
2024-09,Cardiology,449.0,50.0,11.14
2024-09,Emergency,990.0,110.0,11.11
2024-09,Pulmonology,281.0,31.0,11.03
2024-09,General Medicine,643.0,67.0,10.42
2024-09,Surgery,231.0,22.0,9.52
2024-09,Neurology,296.0,26.0,8.78
2024-09,Gastroenterology,242.0,21.0,8.68
2024-09,Nephrology,196.0,16.0,8.16
2024-09,Oncology,248.0,18.0,7.26
2024-10,Pulmonology,259.0,36.0,13.9
2024-10,Emergency,1025.0,116.0,11.32
2024-10,General Medicine,728.0,67.0,9.2
2024-10,Oncology,238.0,20.0,8.4
2024-10,Orthopedics,410.0,34.0,8.29
2024-10,Nephrology,198.0,15.0,7.58
2024-10,Cardiology,440.0,33.0,7.5
2024-10,Gastroenterology,272.0,19.0,6.99
2024-10,Neurology,294.0,20.0,6.8
2024-10,Surgery,263.0,16.0,6.08
2024-11,Nephrology,191.0,24.0,12.57
2024-11,Emergency,990.0,122.0,12.32
2024-11,Gastroenterology,234.0,28.0,11.97
2024-11,Oncology,226.0,27.0,11.95
2024-11,General Medicine,690.0,79.0,11.45
2024-11,Pulmonology,304.0,34.0,11.18
2024-11,Orthopedics,402.0,40.0,9.95
2024-11,Cardiology,415.0,40.0,9.64
2024-11,Surgery,229.0,22.0,9.61
2024-11,Neurology,266.0,21.0,7.89
2024-12,Orthopedics,400.0,52.0,13.0
2024-12,Emergency,1015.0,116.0,11.43
2024-12,Nephrology,207.0,23.0,11.11
2024-12,Gastroenterology,230.0,25.0,10.87
2024-12,Pulmonology,270.0,29.0,10.74
2024-12,Surgery,236.0,25.0,10.59
2024-12,Oncology,270.0,28.0,10.37
2024-12,General Medicine,676.0,62.0,9.17
2024-12,Neurology,300.0,25.0,8.33
2024-12,Cardiology,493.0,37.0,7.51
2025-01,Pulmonology,295.0,38.0,12.88
2025-01,Surgery,265.0,34.0,12.83
2025-01,Oncology,245.0,31.0,12.65
2025-01,General Medicine,697.0,82.0,11.76
2025-01,Emergency,970.0,112.0,11.55
2025-01,Neurology,294.0,28.0,9.52
2025-01,Nephrology,207.0,19.0,9.18
2025-01,Gastroenterology,241.0,21.0,8.71
2025-01,Orthopedics,413.0,35.0,8.47
2025-01,Cardiology,473.0,39.0,8.25
2025-02,Neurology,263.0,42.0,15.97
2025-02,Emergency,914.0,133.0,14.55
2025-02,Cardiology,408.0,47.0,11.52
2025-02,Orthopedics,385.0,41.0,10.65
2025-02,General Medicine,568.0,57.0,10.04
2025-02,Oncology,207.0,20.0,9.66
2025-02,Pulmonology,247.0,23.0,9.31
2025-02,Gastroenterology,252.0,20.0,7.94
2025-02,Surgery,206.0,15.0,7.28
2025-02,Nephrology,164.0,11.0,6.71
2025-03,Neurology,297.0,42.0,14.14
2025-03,Nephrology,191.0,26.0,13.61
2025-03,Gastroenterology,226.0,30.0,13.27
2025-03,Surgery,251.0,33.0,13.15
2025-03,Oncology,247.0,31.0,12.55
2025-03,Cardiology,401.0,41.0,10.22
2025-03,Emergency,953.0,96.0,10.07
2025-03,Orthopedics,407.0,39.0,9.58
2025-03,General Medicine,717.0,62.0,8.65
2025-03,Pulmonology,298.0,22.0,7.38
2025-04,Nephrology,188.0,29.0,15.43
2025-04,Emergency,1033.0,124.0,12.0
2025-04,Cardiology,403.0,44.0,10.92
2025-04,Neurology,300.0,32.0,10.67
2025-04,General Medicine,657.0,69.0,10.5
2025-04,Surgery,239.0,23.0,9.62
2025-04,Pulmonology,281.0,26.0,9.25
2025-04,Oncology,260.0,24.0,9.23
2025-04,Gastroenterology,239.0,22.0,9.21
2025-04,Orthopedics,373.0,32.0,8.58
2025-05,Pulmonology,287.0,43.0,14.98
2025-05,Emergency,1022.0,133.0,13.01
2025-05,Surgery,245.0,30.0,12.24
2025-05,Gastroenterology,230.0,28.0,12.17
2025-05,Nephrology,210.0,24.0,11.43
2025-05,Orthopedics,404.0,44.0,10.89
2025-05,Cardiology,478.0,51.0,10.67
2025-05,General Medicine,677.0,71.0,10.49
2025-05,Neurology,318.0,33.0,10.38
2025-05,Oncology,254.0,25.0,9.84
2025-06,Emergency,925.0,118.0,12.76
2025-06,Neurology,256.0,32.0,12.5
2025-06,Surgery,210.0,25.0,11.9
2025-06,Cardiology,388.0,46.0,11.86
2025-06,Orthopedics,392.0,42.0,10.71
2025-06,Pulmonology,251.0,26.0,10.36
2025-06,Gastroenterology,241.0,23.0,9.54
2025-06,Nephrology,193.0,18.0,9.33
2025-06,General Medicine,681.0,61.0,8.96
2025-06,Oncology,250.0,15.0,6.0
2025-07,Emergency,1052.0,127.0,12.07
2025-07,General Medicine,661.0,75.0,11.35
2025-07,Cardiology,459.0,50.0,10.89
2025-07,Pulmonology,245.0,26.0,10.61
2025-07,Orthopedics,412.0,43.0,10.44
2025-07,Neurology,309.0,31.0,10.03
2025-07,Oncology,269.0,24.0,8.92
2025-07,Nephrology,223.0,19.0,8.52
2025-07,Surgery,219.0,15.0,6.85
2025-07,Gastroenterology,254.0,17.0,6.69
2025-08,Nephrology,213.0,30.0,14.08
2025-08,Pulmonology,258.0,33.0,12.79
2025-08,Emergency,978.0,116.0,11.86
2025-08,Neurology,270.0,29.0,10.74
2025-08,Surgery,242.0,26.0,10.74
2025-08,Orthopedics,399.0,36.0,9.02
2025-08,General Medicine,651.0,57.0,8.76
2025-08,Gastroenterology,241.0,21.0,8.71
2025-08,Oncology,238.0,17.0,7.14
2025-08,Cardiology,451.0,32.0,7.1
2025-09,Cardiology,457.0,54.0,11.82
2025-09,Gastroenterology,269.0,31.0,11.52
2025-09,Emergency,942.0,108.0,11.46
2025-09,Neurology,259.0,28.0,10.81
2025-09,Orthopedics,409.0,44.0,10.76
2025-09,Pulmonology,303.0,32.0,10.56
2025-09,Nephrology,203.0,21.0,10.34
2025-09,General Medicine,665.0,66.0,9.92
2025-09,Surgery,253.0,25.0,9.88
2025-09,Oncology,216.0,17.0,7.87
2025-10,Pulmonology,304.0,40.0,13.16
2025-10,Emergency,1058.0,122.0,11.53
2025-10,General Medicine,661.0,75.0,11.35
2025-10,Surgery,223.0,24.0,10.76
2025-10,Neurology,302.0,32.0,10.6
2025-10,Gastroenterology,263.0,27.0,10.27
2025-10,Cardiology,466.0,46.0,9.87
2025-10,Oncology,234.0,23.0,9.83
2025-10,Nephrology,210.0,19.0,9.05
2025-10,Orthopedics,411.0,35.0,8.52
2025-11,Oncology,279.0,42.0,15.05
2025-11,Surgery,229.0,28.0,12.23
2025-11,Gastroenterology,235.0,28.0,11.91
2025-11,General Medicine,693.0,82.0,11.83
2025-11,Orthopedics,427.0,49.0,11.48
2025-11,Neurology,275.0,30.0,10.91
2025-11,Cardiology,426.0,46.0,10.8
2025-11,Emergency,972.0,104.0,10.7
2025-11,Pulmonology,266.0,22.0,8.27
2025-11,Nephrology,190.0,14.0,7.37
2025-12,Gastroenterology,229.0,30.0,13.1
2025-12,Nephrology,213.0,26.0,12.21
2025-12,Oncology,232.0,26.0,11.21
2025-12,Pulmonology,272.0,29.0,10.66
2025-12,Emergency,1021.0,108.0,10.58
2025-12,Cardiology,450.0,45.0,10.0
2025-12,Orthopedics,412.0,41.0,9.95
2025-12,Neurology,302.0,29.0,9.6
2025-12,Surgery,240.0,23.0,9.58
2025-12,General Medicine,694.0,58.0,8.36
2026-01,Pulmonology,281.0,43.0,15.3
2026-01,Emergency,1063.0,154.0,14.49
2026-01,Cardiology,438.0,53.0,12.1
2026-01,Oncology,268.0,29.0,10.82
2026-01,Gastroenterology,255.0,27.0,10.59
2026-01,Orthopedics,424.0,44.0,10.38
2026-01,Neurology,278.0,28.0,10.07
2026-01,Nephrology,210.0,21.0,10.0
2026-01,General Medicine,673.0,63.0,9.36
2026-01,Surgery,273.0,23.0,8.42
2026-02,Pulmonology,258.0,47.0,18.22
2026-02,Emergency,919.0,151.0,16.43
2026-02,Oncology,242.0,31.0,12.81
2026-02,Neurology,234.0,26.0,11.11
2026-02,Gastroenterology,208.0,23.0,11.06
2026-02,Nephrology,172.0,19.0,11.05
2026-02,Cardiology,454.0,48.0,10.57
2026-02,Surgery,219.0,21.0,9.59
2026-02,General Medicine,625.0,55.0,8.8
2026-02,Orthopedics,386.0,29.0,7.51
2026-03,Pulmonology,309.0,52.0,16.83
2026-03,Emergency,999.0,164.0,16.42
2026-03,Surgery,254.0,29.0,11.42
2026-03,Orthopedics,390.0,44.0,11.28
2026-03,Gastroenterology,257.0,27.0,10.51
2026-03,Neurology,272.0,28.0,10.29
2026-03,General Medicine,637.0,62.0,9.73
2026-03,Nephrology,221.0,21.0,9.5
2026-03,Oncology,264.0,22.0,8.33
2026-03,Cardiology,459.0,35.0,7.63
2026-04,Emergency,928.0,131.0,14.12
2026-04,General Medicine,676.0,81.0,11.98
2026-04,Cardiology,425.0,49.0,11.53
2026-04,Pulmonology,276.0,31.0,11.23
2026-04,Gastroenterology,209.0,23.0,11.0
2026-04,Orthopedics,380.0,39.0,10.26
2026-04,Nephrology,197.0,20.0,10.15
2026-04,Surgery,245.0,23.0,9.39
2026-04,Oncology,239.0,20.0,8.37
2026-04,Neurology,292.0,24.0,8.22
2026-05,Pulmonology,286.0,45.0,15.73
2026-05,Neurology,286.0,38.0,13.29
2026-05,Emergency,1038.0,133.0,12.81
2026-05,Nephrology,204.0,24.0,11.76
2026-05,General Medicine,691.0,76.0,11.0
2026-05,Orthopedics,420.0,42.0,10.0
2026-05,Cardiology,457.0,42.0,9.19
2026-05,Oncology,272.0,24.0,8.82
2026-05,Gastroenterology,220.0,18.0,8.18
2026-05,Surgery,219.0,16.0,7.31
2026-06,Emergency,725.0,114.0,15.72
2026-06,Pulmonology,185.0,28.0,15.14
2026-06,Oncology,159.0,20.0,12.58
2026-06,Orthopedics,289.0,34.0,11.76
2026-06,General Medicine,444.0,50.0,11.26
2026-06,Gastroenterology,181.0,20.0,11.05
2026-06,Neurology,196.0,20.0,10.2
2026-06,Nephrology,141.0,12.0,8.51
2026-06,Cardiology,270.0,20.0,7.41
2026-06,Surgery,159.0,9.0,5.66
