staffing_month,department,total_staff,total_patients,patient_to_staff_ratio
2024-08,Orthopedics,759.0,2300.0,3.03
2024-08,Surgery,853.0,2462.0,2.89
2024-08,Nephrology,567.0,1635.0,2.88
2024-08,Neurology,659.0,1886.0,2.86
2024-08,Oncology,683.0,1813.0,2.65
2024-09,Emergency,1189.0,4679.0,3.94
2024-09,General Medicine,993.0,3673.0,3.7
2024-09,Cardiology,818.0,2523.0,3.08
2024-09,Orthopedics,710.0,2167.0,3.05
2024-09,Pulmonology,647.0,1960.0,3.03
2024-09,Gastroenterology,568.0,1627.0,2.86
2024-09,Neurology,628.0,1789.0,2.85
2024-09,Surgery,813.0,2199.0,2.7
2024-09,Oncology,653.0,1691.0,2.59
2024-09,Nephrology,593.0,1474.0,2.49
2024-10,Emergency,1201.0,4800.0,4.0
2024-10,General Medicine,1013.0,3698.0,3.65
2024-10,Cardiology,849.0,2762.0,3.25
2024-10,Neurology,641.0,1873.0,2.92
2024-10,Surgery,834.0,2423.0,2.91
2024-10,Gastroenterology,558.0,1609.0,2.88
2024-10,Pulmonology,670.0,1911.0,2.85
2024-10,Orthopedics,771.0,2155.0,2.8
2024-10,Oncology,656.0,1759.0,2.68
2024-10,Nephrology,604.0,1555.0,2.57
2024-11,Emergency,1182.0,4853.0,4.11
2024-11,General Medicine,978.0,3655.0,3.74
2024-11,Cardiology,804.0,2556.0,3.18
2024-11,Neurology,630.0,1953.0,3.1
2024-11,Pulmonology,631.0,1957.0,3.1
2024-11,Nephrology,529.0,1572.0,2.97
2024-11,Orthopedics,758.0,2223.0,2.93
2024-11,Surgery,820.0,2355.0,2.87
2024-11,Gastroenterology,572.0,1604.0,2.8
2024-11,Oncology,668.0,1675.0,2.51
2024-12,Emergency,1205.0,5088.0,4.22
2024-12,General Medicine,1004.0,3917.0,3.9
2024-12,Cardiology,826.0,2752.0,3.33
2024-12,Pulmonology,675.0,2122.0,3.14
2024-12,Orthopedics,760.0,2375.0,3.13
2024-12,Gastroenterology,579.0,1762.0,3.04
2024-12,Neurology,671.0,2025.0,3.02
2024-12,Surgery,853.0,2542.0,2.98
2024-12,Nephrology,566.0,1636.0,2.89
2024-12,Oncology,661.0,1766.0,2.67
2025-01,Emergency,1176.0,5332.0,4.53
2025-01,General Medicine,1037.0,4095.0,3.95
2025-01,Cardiology,844.0,2873.0,3.4
2025-01,Orthopedics,727.0,2432.0,3.35
2025-01,Pulmonology,681.0,2237.0,3.28
2025-01,Surgery,847.0,2747.0,3.24
2025-01,Neurology,645.0,2034.0,3.15
2025-01,Gastroenterology,580.0,1798.0,3.1
2025-01,Nephrology,588.0,1751.0,2.98
2025-01,Oncology,669.0,1931.0,2.89
2025-02,Emergency,1101.0,4866.0,4.42
2025-02,General Medicine,923.0,3785.0,4.1
2025-02,Cardiology,781.0,2786.0,3.57
2025-02,Orthopedics,659.0,2325.0,3.53
2025-02,Pulmonology,600.0,2045.0,3.41
2025-02,Gastroenterology,494.0,1686.0,3.41
2025-02,Surgery,787.0,2579.0,3.28
2025-02,Nephrology,529.0,1641.0,3.1
2025-02,Neurology,632.0,1953.0,3.09
2025-02,Oncology,632.0,1791.0,2.83
2025-03,Emergency,1196.0,5627.0,4.7
2025-03,General Medicine,1024.0,4422.0,4.32
2025-03,Pulmonology,647.0,2398.0,3.71
2025-03,Cardiology,856.0,3047.0,3.56
2025-03,Gastroenterology,572.0,1991.0,3.48
2025-03,Orthopedics,760.0,2592.0,3.41
2025-03,Surgery,871.0,2841.0,3.26
2025-03,Neurology,671.0,2172.0,3.24
2025-03,Nephrology,546.0,1742.0,3.19
2025-03,Oncology,672.0,1913.0,2.85
2025-04,Emergency,1157.0,5370.0,4.64
2025-04,General Medicine,980.0,4218.0,4.3
2025-04,Cardiology,837.0,2985.0,3.57
2025-04,Pulmonology,622.0,2223.0,3.57
2025-04,Orthopedics,739.0,2608.0,3.53
2025-04,Gastroenterology,542.0,1912.0,3.53
2025-04,Neurology,617.0,2166.0,3.51
2025-04,Surgery,808.0,2803.0,3.47
2025-04,Oncology,643.0,2002.0,3.11
2025-04,Nephrology,569.0,1749.0,3.07
2025-05,Emergency,1210.0,5512.0,4.56
2025-05,General Medicine,996.0,4121.0,4.14
2025-05,Cardiology,868.0,3089.0,3.56
2025-05,Neurology,651.0,2286.0,3.51
2025-05,Pulmonology,659.0,2247.0,3.41
2025-05,Orthopedics,758.0,2544.0,3.36
2025-05,Gastroenterology,569.0,1886.0,3.31
2025-05,Surgery,841.0,2774.0,3.3
2025-05,Oncology,646.0,1993.0,3.09
2025-05,Nephrology,578.0,1760.0,3.04
2025-06,Emergency,1136.0,5161.0,4.54
2025-06,General Medicine,1017.0,3999.0,3.93
2025-06,Cardiology,832.0,2741.0,3.29
2025-06,Orthopedics,733.0,2362.0,3.22
2025-06,Pulmonology,642.0,2050.0,3.19
2025-06,Neurology,662.0,2072.0,3.13
2025-06,Surgery,823.0,2530.0,3.07
2025-06,Gastroenterology,586.0,1773.0,3.03
2025-06,Oncology,618.0,1817.0,2.94
2025-06,Nephrology,574.0,1675.0,2.92
2025-07,Emergency,1170.0,5199.0,4.44
2025-07,General Medicine,1018.0,3894.0,3.83
2025-07,Cardiology,826.0,2769.0,3.35
2025-07,Pulmonology,662.0,2169.0,3.28
2025-07,Neurology,649.0,2100.0,3.24
2025-07,Orthopedics,745.0,2339.0,3.14
2025-07,Surgery,826.0,2487.0,3.01
2025-07,Nephrology,584.0,1673.0,2.86
2025-07,Gastroenterology,607.0,1731.0,2.85
2025-07,Oncology,658.0,1767.0,2.69
2025-08,Emergency,1188.0,4756.0,4.0
2025-08,General Medicine,1041.0,3829.0,3.68
2025-08,Pulmonology,635.0,2070.0,3.26
2025-08,Cardiology,835.0,2679.0,3.21
2025-08,Surgery,828.0,2475.0,2.99
2025-08,Orthopedics,764.0,2267.0,2.97
2025-08,Gastroenterology,575.0,1677.0,2.92
2025-08,Neurology,684.0,1945.0,2.84
2025-08,Nephrology,548.0,1530.0,2.79
2025-08,Oncology,664.0,1799.0,2.71
2025-09,Emergency,1148.0,4676.0,4.07
2025-09,General Medicine,976.0,3709.0,3.8
2025-09,Cardiology,794.0,2557.0,3.22
2025-09,Pulmonology,625.0,1929.0,3.09
2025-09,Orthopedics,720.0,2142.0,2.98
2025-09,Surgery,802.0,2319.0,2.89
2025-09,Neurology,636.0,1826.0,2.87
2025-09,Gastroenterology,572.0,1597.0,2.79
2025-09,Nephrology,560.0,1520.0,2.71
2025-09,Oncology,610.0,1624.0,2.66
2025-10,Emergency,1192.0,4869.0,4.08
2025-10,General Medicine,996.0,3696.0,3.71
2025-10,Cardiology,819.0,2633.0,3.21
2025-10,Orthopedics,755.0,2251.0,2.98
2025-10,Neurology,671.0,1977.0,2.95
2025-10,Pulmonology,689.0,2000.0,2.9
2025-10,Surgery,858.0,2480.0,2.89
2025-10,Nephrology,540.0,1514.0,2.8
2025-10,Gastroenterology,585.0,1610.0,2.75
2025-10,Oncology,676.0,1682.0,2.49
2025-11,Emergency,1148.0,4712.0,4.1
2025-11,General Medicine,996.0,3616.0,3.63
2025-11,Pulmonology,596.0,1967.0,3.3
2025-11,Cardiology,835.0,2721.0,3.26
2025-11,Gastroenterology,555.0,1724.0,3.11
2025-11,Orthopedics,718.0,2225.0,3.1
2025-11,Neurology,637.0,1833.0,2.88
2025-11,Surgery,834.0,2354.0,2.82
2025-11,Nephrology,567.0,1514.0,2.67
2025-11,Oncology,661.0,1744.0,2.64
2025-12,Emergency,1213.0,5091.0,4.2
2025-12,General Medicine,1028.0,3875.0,3.77
2025-12,Cardiology,847.0,2831.0,3.34
2025-12,Orthopedics,735.0,2372.0,3.23
2025-12,Neurology,659.0,2070.0,3.14
2025-12,Pulmonology,656.0,2056.0,3.13
2025-12,Gastroenterology,551.0,1711.0,3.11
2025-12,Surgery,839.0,2506.0,2.99
2025-12,Nephrology,609.0,1633.0,2.68
2025-12,Oncology,703.0,1827.0,2.6
2026-01,Emergency,1079.0,5932.0,5.5
2026-01,General Medicine,1027.0,4058.0,3.95
2026-01,Pulmonology,613.0,2396.0,3.91
2026-01,Cardiology,831.0,2900.0,3.49
2026-01,Gastroenterology,570.0,1906.0,3.34
2026-01,Orthopedics,746.0,2423.0,3.25
2026-01,Surgery,860.0,2616.0,3.04
2026-01,Neurology,685.0,2027.0,2.96
2026-01,Nephrology,602.0,1734.0,2.88
2026-01,Oncology,690.0,1834.0,2.66
2026-02,Emergency,975.0,5591.0,5.73
2026-02,Pulmonology,538.0,2284.0,4.25
2026-02,General Medicine,939.0,3788.0,4.03
2026-02,Cardiology,773.0,2662.0,3.44
2026-02,Surgery,735.0,2473.0,3.36
2026-02,Orthopedics,684.0,2281.0,3.33
2026-02,Gastroenterology,522.0,1725.0,3.3
2026-02,Neurology,601.0,1965.0,3.27
2026-02,Oncology,584.0,1780.0,3.05
2026-02,Nephrology,529.0,1606.0,3.04
2026-03,Emergency,1072.0,6198.0,5.78
2026-03,General Medicine,994.0,4384.0,4.41
2026-03,Pulmonology,610.0,2452.0,4.02
2026-03,Cardiology,840.0,3028.0,3.6
2026-03,Orthopedics,719.0,2563.0,3.56
2026-03,Surgery,814.0,2771.0,3.4
2026-03,Gastroenterology,544.0,1839.0,3.38
2026-03,Neurology,669.0,2233.0,3.34
2026-03,Nephrology,560.0,1775.0,3.17
2026-03,Oncology,670.0,2043.0,3.05
2026-04,Emergency,1061.0,6064.0,5.72
2026-04,Pulmonology,579.0,2467.0,4.26
2026-04,General Medicine,1024.0,4225.0,4.13
2026-04,Cardiology,818.0,2923.0,3.57
2026-04,Gastroenterology,519.0,1839.0,3.54
2026-04,Orthopedics,704.0,2405.0,3.42
2026-04,Surgery,808.0,2642.0,3.27
2026-04,Nephrology,544.0,1751.0,3.22
2026-04,Neurology,645.0,2067.0,3.2
2026-04,Oncology,670.0,1977.0,2.95
2026-05,Emergency,1080.0,6118.0,5.66
2026-05,General Medicine,1016.0,4173.0,4.11
2026-05,Pulmonology,603.0,2459.0,4.08
2026-05,Cardiology,846.0,2920.0,3.45
2026-05,Orthopedics,769.0,2574.0,3.35
2026-05,Surgery,843.0,2788.0,3.31
2026-05,Nephrology,551.0,1786.0,3.24
2026-05,Neurology,675.0,2172.0,3.22
2026-05,Gastroenterology,580.0,1830.0,3.16
2026-05,Oncology,653.0,1889.0,2.89
2026-06,Emergency,1044.0,5672.0,5.43
2026-06,General Medicine,983.0,3971.0,4.04
2026-06,Pulmonology,596.0,2384.0,4.0
2026-06,Cardiology,810.0,2912.0,3.6
2026-06,Gastroenterology,540.0,1775.0,3.29
2026-06,Nephrology,539.0,1731.0,3.21
2026-06,Orthopedics,722.0,2299.0,3.18
2026-06,Neurology,633.0,1989.0,3.14
2026-06,Surgery,815.0,2511.0,3.08
2026-06,Oncology,646.0,1820.0,2.82
