date,total_staff,total_patients,patient_to_staff_ratio
2024-05-15,266.0,915.0,3.44
2024-05-16,261.0,923.0,3.54
2024-05-17,231.0,863.0,3.74
2024-05-18,255.0,927.0,3.64
2024-05-19,250.0,933.0,3.73
2024-05-20,275.0,857.0,3.12
2024-05-21,270.0,885.0,3.28
2024-05-22,254.0,917.0,3.61
2024-05-23,260.0,878.0,3.38
2024-05-24,257.0,897.0,3.49
2024-05-25,255.0,872.0,3.42
2024-05-26,244.0,870.0,3.57
2024-05-27,256.0,936.0,3.66
2024-05-28,239.0,891.0,3.73
2024-05-29,230.0,844.0,3.67
2024-05-30,245.0,892.0,3.64
2024-05-31,250.0,870.0,3.48
2024-06-01,241.0,875.0,3.63
2024-06-02,252.0,936.0,3.71
2024-06-03,245.0,919.0,3.75
2024-06-04,253.0,858.0,3.39
2024-06-05,235.0,898.0,3.82
2024-06-06,250.0,910.0,3.64
2024-06-07,257.0,866.0,3.37
2024-06-08,261.0,860.0,3.3
2024-06-09,258.0,904.0,3.5
2024-06-10,253.0,890.0,3.52
2024-06-11,251.0,909.0,3.62
2024-06-12,260.0,857.0,3.3
2024-06-13,229.0,813.0,3.55
2024-06-14,267.0,842.0,3.15
2024-06-15,272.0,874.0,3.21
2024-06-16,246.0,857.0,3.48
2024-06-17,246.0,869.0,3.53
2024-06-18,261.0,903.0,3.46
2024-06-19,258.0,880.0,3.41
2024-06-20,278.0,830.0,2.99
2024-06-21,241.0,896.0,3.72
2024-06-22,232.0,862.0,3.72
2024-06-23,240.0,861.0,3.59
2024-06-24,271.0,882.0,3.25
2024-06-25,280.0,896.0,3.2
2024-06-26,249.0,876.0,3.52
2024-06-27,255.0,900.0,3.53
2024-06-28,268.0,847.0,3.16
2024-06-29,256.0,879.0,3.43
2024-06-30,244.0,883.0,3.62
2024-07-01,232.0,850.0,3.66
2024-07-02,249.0,800.0,3.21
2024-07-03,234.0,834.0,3.56
2024-07-04,255.0,856.0,3.36
2024-07-05,261.0,876.0,3.36
2024-07-06,256.0,882.0,3.45
2024-07-07,236.0,852.0,3.61
2024-07-08,245.0,828.0,3.38
2024-07-09,240.0,841.0,3.5
2024-07-10,256.0,888.0,3.47
2024-07-11,239.0,824.0,3.45
2024-07-12,257.0,794.0,3.09
2024-07-13,268.0,839.0,3.13
2024-07-14,269.0,872.0,3.24
2024-07-15,244.0,817.0,3.35
2024-07-16,249.0,817.0,3.28
2024-07-17,251.0,801.0,3.19
2024-07-18,243.0,860.0,3.54
2024-07-19,249.0,842.0,3.38
2024-07-20,250.0,917.0,3.67
2024-07-21,251.0,811.0,3.23
2024-07-22,256.0,873.0,3.41
2024-07-23,256.0,872.0,3.41
2024-07-24,271.0,864.0,3.19
2024-07-25,257.0,850.0,3.31
2024-07-26,264.0,872.0,3.3
2024-07-27,268.0,824.0,3.07
2024-07-28,260.0,887.0,3.41
2024-07-29,237.0,815.0,3.44
2024-07-30,254.0,845.0,3.33
2024-07-31,259.0,847.0,3.27
2024-08-01,250.0,826.0,3.3
2024-08-02,231.0,791.0,3.42
2024-08-03,258.0,815.0,3.16
2024-08-04,261.0,833.0,3.19
2024-08-05,249.0,772.0,3.1
2024-08-06,262.0,824.0,3.15
2024-08-07,255.0,853.0,3.35
2024-08-08,253.0,825.0,3.26
2024-08-09,246.0,868.0,3.53
2024-08-10,239.0,814.0,3.41
2024-08-11,260.0,800.0,3.08
2024-08-12,253.0,802.0,3.17
2024-08-13,247.0,850.0,3.44
2024-08-14,253.0,834.0,3.3
2024-08-15,258.0,815.0,3.16
2024-08-16,251.0,758.0,3.02
2024-08-17,256.0,794.0,3.1
2024-08-18,242.0,816.0,3.37
2024-08-19,262.0,871.0,3.32
2024-08-20,252.0,857.0,3.4
2024-08-21,253.0,830.0,3.28
2024-08-22,266.0,777.0,2.92
2024-08-23,240.0,846.0,3.53
2024-08-24,264.0,829.0,3.14
2024-08-25,247.0,842.0,3.41
2024-08-26,246.0,806.0,3.28
2024-08-27,243.0,852.0,3.51
2024-08-28,244.0,770.0,3.16
2024-08-29,232.0,800.0,3.45
2024-08-30,266.0,797.0,3.0
2024-08-31,261.0,853.0,3.27
2024-09-01,247.0,820.0,3.32
2024-09-02,245.0,822.0,3.36
2024-09-03,257.0,836.0,3.25
2024-09-04,243.0,799.0,3.29
2024-09-05,271.0,822.0,3.03
2024-09-06,235.0,798.0,3.4
2024-09-07,278.0,799.0,2.87
2024-09-08,246.0,811.0,3.3
2024-09-09,255.0,848.0,3.33
2024-09-10,253.0,809.0,3.2
2024-09-11,262.0,826.0,3.15
2024-09-12,263.0,738.0,2.81
2024-09-13,264.0,828.0,3.14
2024-09-14,254.0,802.0,3.16
2024-09-15,250.0,792.0,3.17
2024-09-16,261.0,761.0,2.92
2024-09-17,251.0,784.0,3.12
2024-09-18,264.0,774.0,2.93
2024-09-19,252.0,753.0,2.99
2024-09-20,250.0,785.0,3.14
2024-09-21,250.0,784.0,3.14
2024-09-22,255.0,797.0,3.13
2024-09-23,253.0,757.0,2.99
2024-09-24,262.0,762.0,2.91
2024-09-25,248.0,783.0,3.16
2024-09-26,255.0,803.0,3.15
2024-09-27,235.0,772.0,3.29
2024-09-28,258.0,800.0,3.1
2024-09-29,249.0,725.0,2.91
2024-09-30,246.0,792.0,3.22
2024-10-01,260.0,801.0,3.08
2024-10-02,258.0,764.0,2.96
2024-10-03,246.0,747.0,3.04
2024-10-04,250.0,778.0,3.11
2024-10-05,247.0,755.0,3.06
2024-10-06,231.0,797.0,3.45
2024-10-07,257.0,800.0,3.11
2024-10-08,256.0,764.0,2.98
2024-10-09,236.0,761.0,3.22
2024-10-10,259.0,801.0,3.09
2024-10-11,271.0,794.0,2.93
2024-10-12,255.0,790.0,3.1
2024-10-13,247.0,765.0,3.1
2024-10-14,252.0,783.0,3.11
2024-10-15,258.0,784.0,3.04
2024-10-16,255.0,792.0,3.11
2024-10-17,258.0,792.0,3.07
2024-10-18,250.0,787.0,3.15
2024-10-19,250.0,855.0,3.42
2024-10-20,261.0,810.0,3.1
2024-10-21,245.0,797.0,3.25
2024-10-22,251.0,780.0,3.11
2024-10-23,237.0,814.0,3.43
2024-10-24,243.0,779.0,3.21
2024-10-25,251.0,809.0,3.22
2024-10-26,261.0,825.0,3.16
2024-10-27,241.0,830.0,3.44
2024-10-28,250.0,765.0,3.06
2024-10-29,248.0,797.0,3.21
2024-10-30,260.0,809.0,3.11
2024-10-31,253.0,820.0,3.24
2024-11-01,236.0,753.0,3.19
2024-11-02,262.0,802.0,3.06
2024-11-03,251.0,745.0,2.97
2024-11-04,259.0,807.0,3.12
2024-11-05,255.0,847.0,3.32
2024-11-06,251.0,829.0,3.3
2024-11-07,237.0,804.0,3.39
2024-11-08,254.0,828.0,3.26
2024-11-09,246.0,794.0,3.23
2024-11-10,261.0,873.0,3.34
2024-11-11,243.0,794.0,3.27
2024-11-12,245.0,792.0,3.23
2024-11-13,248.0,830.0,3.35
2024-11-14,233.0,824.0,3.54
2024-11-15,260.0,852.0,3.28
2024-11-16,248.0,773.0,3.12
2024-11-17,242.0,771.0,3.19
2024-11-18,241.0,820.0,3.4
2024-11-19,252.0,888.0,3.52
2024-11-20,259.0,813.0,3.14
2024-11-21,259.0,799.0,3.08
2024-11-22,251.0,824.0,3.28
2024-11-23,256.0,798.0,3.12
2024-11-24,257.0,847.0,3.3
2024-11-25,263.0,825.0,3.14
2024-11-26,269.0,811.0,3.01
2024-11-27,256.0,849.0,3.32
2024-11-28,250.0,804.0,3.22
2024-11-29,270.0,814.0,3.01
2024-11-30,258.0,793.0,3.07
2024-12-01,255.0,775.0,3.04
2024-12-02,256.0,794.0,3.1
2024-12-03,269.0,865.0,3.22
2024-12-04,255.0,813.0,3.19
2024-12-05,254.0,840.0,3.31
2024-12-06,246.0,852.0,3.46
2024-12-07,256.0,840.0,3.28
2024-12-08,249.0,857.0,3.44
2024-12-09,259.0,835.0,3.22
2024-12-10,255.0,802.0,3.15
2024-12-11,260.0,842.0,3.24
2024-12-12,263.0,850.0,3.23
2024-12-13,264.0,795.0,3.01
2024-12-14,243.0,832.0,3.42
2024-12-15,239.0,833.0,3.49
2024-12-16,250.0,833.0,3.33
2024-12-17,259.0,809.0,3.12
2024-12-18,246.0,803.0,3.26
2024-12-19,238.0,863.0,3.63
2024-12-20,258.0,833.0,3.23
2024-12-21,262.0,874.0,3.34
2024-12-22,234.0,822.0,3.51
2024-12-23,245.0,860.0,3.51
2024-12-24,255.0,833.0,3.27
2024-12-25,268.0,831.0,3.1
2024-12-26,249.0,878.0,3.53
2024-12-27,235.0,865.0,3.68
2024-12-28,249.0,847.0,3.4
2024-12-29,239.0,834.0,3.49
2024-12-30,246.0,886.0,3.6
2024-12-31,244.0,889.0,3.64
2025-01-01,229.0,822.0,3.59
2025-01-02,248.0,851.0,3.43
2025-01-03,270.0,851.0,3.15
2025-01-04,260.0,886.0,3.41
2025-01-05,238.0,867.0,3.64
2025-01-06,255.0,873.0,3.42
2025-01-07,251.0,829.0,3.3
2025-01-08,242.0,894.0,3.69
2025-01-09,256.0,859.0,3.36
2025-01-10,253.0,838.0,3.31
2025-01-11,238.0,863.0,3.63
2025-01-12,252.0,921.0,3.65
2025-01-13,253.0,841.0,3.32
2025-01-14,270.0,861.0,3.19
2025-01-15,272.0,885.0,3.25
2025-01-16,245.0,904.0,3.69
2025-01-17,243.0,944.0,3.88
2025-01-18,246.0,871.0,3.54
2025-01-19,260.0,881.0,3.39
2025-01-20,262.0,900.0,3.44
2025-01-21,248.0,928.0,3.74
2025-01-22,237.0,879.0,3.71
2025-01-23,248.0,920.0,3.71
2025-01-24,235.0,870.0,3.7
2025-01-25,264.0,905.0,3.43
2025-01-26,251.0,863.0,3.44
2025-01-27,270.0,879.0,3.26
2025-01-28,243.0,824.0,3.39
2025-01-29,259.0,908.0,3.51
2025-01-30,247.0,906.0,3.67
2025-01-31,249.0,907.0,3.64
2025-02-01,256.0,932.0,3.64
2025-02-02,258.0,873.0,3.38
2025-02-03,259.0,887.0,3.42
2025-02-04,251.0,846.0,3.37
2025-02-05,282.0,885.0,3.14
2025-02-06,266.0,885.0,3.33
2025-02-07,250.0,930.0,3.72
2025-02-08,250.0,902.0,3.61
2025-02-09,252.0,986.0,3.91
2025-02-10,251.0,914.0,3.64
2025-02-11,255.0,872.0,3.42
2025-02-12,244.0,916.0,3.75
2025-02-13,263.0,976.0,3.71
2025-02-14,262.0,873.0,3.33
2025-02-15,241.0,921.0,3.82
2025-02-16,242.0,904.0,3.74
2025-02-17,241.0,864.0,3.59
2025-02-18,256.0,918.0,3.59
2025-02-19,263.0,898.0,3.41
2025-02-20,264.0,938.0,3.55
2025-02-21,255.0,920.0,3.61
2025-02-22,275.0,910.0,3.31
2025-02-23,243.0,888.0,3.65
2025-02-24,235.0,916.0,3.9
2025-02-25,248.0,913.0,3.68
2025-02-26,248.0,918.0,3.7
2025-02-27,266.0,970.0,3.65
2025-02-28,262.0,902.0,3.44
2025-03-01,252.0,899.0,3.57
2025-03-02,258.0,949.0,3.68
2025-03-03,252.0,914.0,3.63
2025-03-04,252.0,958.0,3.8
2025-03-05,263.0,996.0,3.79
2025-03-06,261.0,915.0,3.51
2025-03-07,248.0,917.0,3.7
2025-03-08,263.0,895.0,3.4
2025-03-09,249.0,955.0,3.84
2025-03-10,260.0,925.0,3.56
2025-03-11,254.0,905.0,3.56
2025-03-12,233.0,903.0,3.88
2025-03-13,267.0,990.0,3.71
2025-03-14,252.0,913.0,3.62
2025-03-15,249.0,898.0,3.61
2025-03-16,250.0,912.0,3.65
2025-03-17,249.0,998.0,4.01
2025-03-18,254.0,914.0,3.6
2025-03-19,239.0,905.0,3.79
2025-03-20,251.0,932.0,3.71
2025-03-21,258.0,917.0,3.55
2025-03-22,254.0,879.0,3.46
2025-03-23,245.0,941.0,3.84
2025-03-24,268.0,922.0,3.44
2025-03-25,254.0,945.0,3.72
2025-03-26,240.0,893.0,3.72
2025-03-27,243.0,935.0,3.85
2025-03-28,239.0,965.0,4.04
2025-03-29,246.0,916.0,3.72
2025-03-30,245.0,929.0,3.79
2025-03-31,267.0,910.0,3.41
2025-04-01,255.0,924.0,3.62
2025-04-02,240.0,936.0,3.9
2025-04-03,259.0,927.0,3.58
2025-04-04,237.0,895.0,3.78
2025-04-05,258.0,960.0,3.72
2025-04-06,242.0,920.0,3.8
2025-04-07,246.0,973.0,3.96
2025-04-08,266.0,969.0,3.64
2025-04-09,264.0,936.0,3.55
2025-04-10,237.0,941.0,3.97
2025-04-11,268.0,940.0,3.51
2025-04-12,255.0,945.0,3.71
2025-04-13,243.0,937.0,3.86
2025-04-14,244.0,940.0,3.85
2025-04-15,253.0,937.0,3.7
2025-04-16,264.0,922.0,3.49
2025-04-17,256.0,921.0,3.6
2025-04-18,241.0,978.0,4.06
2025-04-19,249.0,910.0,3.65
2025-04-20,272.0,938.0,3.45
2025-04-21,252.0,972.0,3.86
2025-04-22,260.0,945.0,3.63
2025-04-23,254.0,955.0,3.76
2025-04-24,243.0,921.0,3.79
2025-04-25,240.0,932.0,3.88
2025-04-26,244.0,955.0,3.91
2025-04-27,235.0,951.0,4.05
2025-04-28,244.0,872.0,3.57
2025-04-29,246.0,875.0,3.56
2025-04-30,247.0,909.0,3.68
2025-05-01,254.0,945.0,3.72
2025-05-02,273.0,939.0,3.44
2025-05-03,244.0,909.0,3.73
2025-05-04,253.0,923.0,3.65
2025-05-05,262.0,940.0,3.59
2025-05-06,270.0,888.0,3.29
2025-05-07,247.0,894.0,3.62
2025-05-08,247.0,911.0,3.69
2025-05-09,249.0,885.0,3.55
2025-05-10,258.0,949.0,3.68
2025-05-11,247.0,912.0,3.69
2025-05-12,258.0,978.0,3.79
2025-05-13,254.0,974.0,3.83
2025-05-14,247.0,918.0,3.72
2025-05-15,246.0,947.0,3.85
2025-05-16,246.0,885.0,3.6
2025-05-17,251.0,824.0,3.28
2025-05-18,241.0,868.0,3.6
2025-05-19,239.0,901.0,3.77
2025-05-20,253.0,893.0,3.53
2025-05-21,256.0,861.0,3.36
2025-05-22,256.0,946.0,3.7
2025-05-23,236.0,941.0,3.99
2025-05-24,238.0,911.0,3.83
2025-05-25,261.0,928.0,3.56
2025-05-26,256.0,861.0,3.36
2025-05-27,241.0,869.0,3.61
2025-05-28,256.0,947.0,3.7
2025-05-29,250.0,879.0,3.52
2025-05-30,248.0,897.0,3.62
2025-05-31,239.0,889.0,3.72
2025-06-01,246.0,952.0,3.87
2025-06-02,255.0,900.0,3.53
2025-06-03,258.0,884.0,3.43
2025-06-04,269.0,910.0,3.38
2025-06-05,252.0,823.0,3.27
2025-06-06,262.0,845.0,3.23
2025-06-07,249.0,911.0,3.66
2025-06-08,250.0,897.0,3.59
2025-06-09,256.0,847.0,3.31
2025-06-10,255.0,875.0,3.43
2025-06-11,257.0,898.0,3.49
2025-06-12,233.0,867.0,3.72
2025-06-13,247.0,862.0,3.49
2025-06-14,256.0,912.0,3.56
2025-06-15,258.0,873.0,3.38
2025-06-16,269.0,849.0,3.16
2025-06-17,256.0,935.0,3.65
2025-06-18,268.0,918.0,3.43
2025-06-19,242.0,865.0,3.57
2025-06-20,242.0,816.0,3.37
2025-06-21,254.0,899.0,3.54
2025-06-22,231.0,858.0,3.71
2025-06-23,257.0,820.0,3.19
2025-06-24,248.0,860.0,3.47
2025-06-25,261.0,894.0,3.43
2025-06-26,262.0,814.0,3.11
2025-06-27,256.0,809.0,3.16
2025-06-28,266.0,837.0,3.15
2025-06-29,260.0,896.0,3.45
2025-06-30,248.0,854.0,3.44
2025-07-01,246.0,859.0,3.49
2025-07-02,261.0,842.0,3.23
2025-07-03,268.0,827.0,3.09
2025-07-04,239.0,851.0,3.56
2025-07-05,277.0,825.0,2.98
2025-07-06,234.0,807.0,3.45
2025-07-07,248.0,888.0,3.58
2025-07-08,259.0,826.0,3.19
2025-07-09,259.0,875.0,3.38
2025-07-10,252.0,894.0,3.55
2025-07-11,241.0,862.0,3.58
2025-07-12,251.0,843.0,3.36
2025-07-13,253.0,836.0,3.3
2025-07-14,241.0,872.0,3.62
2025-07-15,250.0,787.0,3.15
2025-07-16,242.0,863.0,3.57
2025-07-17,252.0,836.0,3.32
2025-07-18,255.0,875.0,3.43
2025-07-19,253.0,845.0,3.34
2025-07-20,241.0,818.0,3.39
2025-07-21,246.0,882.0,3.59
2025-07-22,233.0,853.0,3.66
2025-07-23,250.0,834.0,3.34
2025-07-24,252.0,826.0,3.28
2025-07-25,258.0,881.0,3.41
2025-07-26,268.0,816.0,3.04
2025-07-27,247.0,818.0,3.31
2025-07-28,245.0,812.0,3.31
2025-07-29,226.0,813.0,3.6
2025-07-30,251.0,827.0,3.29
2025-07-31,247.0,835.0,3.38
2025-08-01,258.0,853.0,3.31
2025-08-02,261.0,789.0,3.02
2025-08-03,260.0,765.0,2.94
2025-08-04,240.0,853.0,3.55
2025-08-05,250.0,804.0,3.22
2025-08-06,233.0,803.0,3.45
2025-08-07,265.0,806.0,3.04
2025-08-08,259.0,835.0,3.22
2025-08-09,234.0,842.0,3.6
2025-08-10,233.0,800.0,3.43
2025-08-11,259.0,808.0,3.12
2025-08-12,245.0,791.0,3.23
2025-08-13,255.0,821.0,3.22
2025-08-14,243.0,782.0,3.22
2025-08-15,240.0,798.0,3.33
2025-08-16,247.0,752.0,3.04
2025-08-17,252.0,842.0,3.34
2025-08-18,246.0,826.0,3.36
2025-08-19,260.0,818.0,3.15
2025-08-20,260.0,768.0,2.95
2025-08-21,242.0,762.0,3.15
2025-08-22,253.0,827.0,3.27
2025-08-23,258.0,848.0,3.29
2025-08-24,268.0,844.0,3.15
2025-08-25,234.0,817.0,3.49
2025-08-26,249.0,767.0,3.08
2025-08-27,258.0,770.0,2.98
2025-08-28,243.0,828.0,3.41
2025-08-29,259.0,806.0,3.11
2025-08-30,254.0,768.0,3.02
2025-08-31,244.0,834.0,3.42
2025-09-01,243.0,845.0,3.48
2025-09-02,241.0,788.0,3.27
2025-09-03,255.0,805.0,3.16
2025-09-04,237.0,831.0,3.51
2025-09-05,269.0,815.0,3.03
2025-09-06,260.0,757.0,2.91
2025-09-07,240.0,817.0,3.4
2025-09-08,235.0,767.0,3.26
2025-09-09,239.0,783.0,3.28
2025-09-10,236.0,802.0,3.4
2025-09-11,252.0,742.0,2.94
2025-09-12,247.0,821.0,3.32
2025-09-13,241.0,792.0,3.29
2025-09-14,253.0,799.0,3.16
2025-09-15,267.0,797.0,2.99
2025-09-16,248.0,824.0,3.32
2025-09-17,248.0,823.0,3.32
2025-09-18,253.0,798.0,3.15
2025-09-19,262.0,825.0,3.15
2025-09-20,245.0,844.0,3.44
2025-09-21,241.0,758.0,3.15
2025-09-22,235.0,799.0,3.4
2025-09-23,247.0,793.0,3.21
2025-09-24,231.0,780.0,3.38
2025-09-25,256.0,756.0,2.95
2025-09-26,243.0,799.0,3.29
2025-09-27,242.0,764.0,3.16
2025-09-28,259.0,788.0,3.04
2025-09-29,271.0,802.0,2.96
2025-09-30,247.0,785.0,3.18
2025-10-01,252.0,806.0,3.2
2025-10-02,268.0,809.0,3.02
2025-10-03,245.0,815.0,3.33
2025-10-04,255.0,799.0,3.13
2025-10-05,257.0,753.0,2.93
2025-10-06,236.0,831.0,3.52
2025-10-07,255.0,788.0,3.09
2025-10-08,242.0,752.0,3.11
2025-10-09,235.0,783.0,3.33
2025-10-10,252.0,812.0,3.22
2025-10-11,253.0,797.0,3.15
2025-10-12,253.0,796.0,3.15
2025-10-13,272.0,825.0,3.03
2025-10-14,241.0,772.0,3.2
2025-10-15,269.0,783.0,2.91
2025-10-16,260.0,790.0,3.04
2025-10-17,248.0,791.0,3.19
2025-10-18,260.0,756.0,2.91
2025-10-19,249.0,808.0,3.24
2025-10-20,254.0,781.0,3.07
2025-10-21,230.0,849.0,3.69
2025-10-22,243.0,775.0,3.19
2025-10-23,238.0,807.0,3.39
2025-10-24,243.0,805.0,3.31
2025-10-25,263.0,777.0,2.95
2025-10-26,256.0,825.0,3.22
2025-10-27,240.0,777.0,3.24
2025-10-28,253.0,796.0,3.15
2025-10-29,237.0,844.0,3.56
2025-10-30,269.0,831.0,3.09
2025-10-31,253.0,779.0,3.08
2025-11-01,249.0,782.0,3.14
2025-11-02,273.0,808.0,2.96
2025-11-03,250.0,756.0,3.02
2025-11-04,258.0,835.0,3.24
2025-11-05,255.0,811.0,3.18
2025-11-06,248.0,781.0,3.15
2025-11-07,259.0,838.0,3.24
2025-11-08,238.0,851.0,3.58
2025-11-09,262.0,849.0,3.24
2025-11-10,241.0,809.0,3.36
2025-11-11,261.0,785.0,3.01
2025-11-12,242.0,819.0,3.38
2025-11-13,240.0,828.0,3.45
2025-11-14,236.0,857.0,3.63
2025-11-15,253.0,836.0,3.3
2025-11-16,254.0,810.0,3.19
2025-11-17,241.0,813.0,3.37
2025-11-18,237.0,798.0,3.37
2025-11-19,247.0,854.0,3.46
2025-11-20,242.0,821.0,3.39
2025-11-21,249.0,814.0,3.27
2025-11-22,248.0,755.0,3.04
2025-11-23,245.0,817.0,3.33
2025-11-24,257.0,808.0,3.14
2025-11-25,237.0,790.0,3.33
2025-11-26,260.0,825.0,3.17
2025-11-27,265.0,829.0,3.13
2025-11-28,267.0,760.0,2.85
2025-11-29,259.0,855.0,3.3
2025-11-30,274.0,816.0,2.98
2025-12-01,256.0,780.0,3.05
2025-12-02,248.0,827.0,3.33
2025-12-03,249.0,837.0,3.36
2025-12-04,252.0,792.0,3.14
2025-12-05,260.0,816.0,3.14
2025-12-06,252.0,814.0,3.23
2025-12-07,242.0,750.0,3.1
2025-12-08,245.0,837.0,3.42
2025-12-09,234.0,785.0,3.35
2025-12-10,263.0,843.0,3.21
2025-12-11,248.0,844.0,3.4
2025-12-12,243.0,859.0,3.53
2025-12-13,244.0,846.0,3.47
2025-12-14,268.0,880.0,3.28
2025-12-15,260.0,839.0,3.23
2025-12-16,260.0,854.0,3.28
2025-12-17,259.0,766.0,2.96
2025-12-18,257.0,880.0,3.42
2025-12-19,266.0,863.0,3.24
2025-12-20,260.0,846.0,3.25
2025-12-21,236.0,891.0,3.78
2025-12-22,248.0,835.0,3.37
2025-12-23,255.0,862.0,3.38
2025-12-24,267.0,886.0,3.32
2025-12-25,255.0,865.0,3.39
2025-12-26,250.0,854.0,3.42
2025-12-27,251.0,851.0,3.39
2025-12-28,258.0,824.0,3.19
2025-12-29,259.0,852.0,3.29
2025-12-30,250.0,878.0,3.51
2025-12-31,245.0,816.0,3.33
2026-01-01,253.0,889.0,3.51
2026-01-02,251.0,928.0,3.7
2026-01-03,252.0,869.0,3.45
